Gender,Married,Dependents,Education,Self_Employed,ApplicantIncome,CoapplicantIncome,LoanAmount,Loan_Amount_Term,Credit_History,Property_Area,class
Male,No,0,Graduate,Yes,7167,0.0,128.0,360.0,1.0,Urban,1
Male,Yes,2,Graduate,Yes,17500,0.0,400.0,360.0,1.0,Rural,1
Male,Yes,2,Graduate,No,4400,0.0,127.0,360.0,0.0,Semiurban,0
Male,No,0,Graduate,No,3254,0.0,50.0,360.0,1.0,Urban,1
Male,No,0,Graduate,No,8750,4167.0,308.0,360.0,1.0,Rural,0
Male,Yes,0,Graduate,No,3015,2188.0,153.0,360.0,1.0,Rural,1
Male,Yes,0,Graduate,No,3166,2064.0,104.0,360.0,0.0,Urban,0
Male,No,0,Graduate,No,1926,1851.0,50.0,360.0,1.0,Semiurban,1
Female,No,0,Graduate,No,2917,0.0,84.0,360.0,1.0,Semiurban,1
Female,No,0,Graduate,No,2995,0.0,60.0,360.0,1.0,Urban,1
Male,Yes,2,Graduate,Yes,16525,1014.0,150.0,360.0,1.0,Rural,1
Male,No,2,Graduate,No,5532,4648.0,162.0,360.0,1.0,Rural,1
Male,Yes,1,Not Graduate,No,5285,1430.0,161.0,360.0,0.0,Semiurban,1
Female,No,0,Graduate,No,4000,2275.0,144.0,360.0,1.0,Semiurban,1
Female,No,2,Graduate,No,3427,0.0,138.0,360.0,1.0,Urban,0
Male,No,0,Not Graduate,No,2333,1451.0,102.0,480.0,0.0,Urban,0
Male,Yes,2,Not Graduate,No,2309,1255.0,125.0,360.0,0.0,Rural,0
Male,No,0,Graduate,No,3158,3053.0,89.0,360.0,1.0,Rural,1
Female,Yes,0,Graduate,No,2423,505.0,130.0,360.0,1.0,Semiurban,1
Male,Yes,2,Graduate,No,8333,3167.0,165.0,360.0,1.0,Rural,1
Male,Yes,3,Graduate,Yes,5266,1774.0,187.0,360.0,1.0,Semiurban,1
Female,Yes,2,Graduate,No,14866,0.0,70.0,360.0,1.0,Urban,1
Male,Yes,0,Not Graduate,No,1800,2934.0,93.0,360.0,0.0,Urban,0
Male,Yes,1,Not Graduate,No,1958,2436.0,131.0,360.0,1.0,Rural,1
Male,Yes,3,Graduate,No,3036,2504.0,158.0,360.0,0.0,Semiurban,0
Male,No,1,Graduate,No,37719,0.0,152.0,360.0,1.0,Semiurban,1
Female,No,1,Not Graduate,No,4606,0.0,81.0,360.0,1.0,Rural,0
Male,Yes,2,Not Graduate,No,3917,0.0,124.0,360.0,1.0,Semiurban,1
Male,No,0,Graduate,No,3858,0.0,76.0,360.0,1.0,Semiurban,1
Male,Yes,2,Graduate,No,6250,1695.0,210.0,360.0,1.0,Semiurban,1
Male,No,2,Graduate,No,3547,0.0,80.0,360.0,0.0,Rural,0
Male,Yes,1,Graduate,No,3315,0.0,96.0,360.0,1.0,Semiurban,1
Male,Yes,3,Graduate,No,2666,2083.0,95.0,360.0,1.0,Rural,1
Male,Yes,2,Graduate,No,3073,8106.0,200.0,360.0,1.0,Urban,1
Male,Yes,1,Not Graduate,No,2653,1500.0,113.0,180.0,0.0,Rural,0
Male,No,0,Graduate,No,14999,0.0,242.0,360.0,0.0,Semiurban,0
Male,No,0,Graduate,No,4843,3806.0,151.0,360.0,1.0,Semiurban,1
Female,No,0,Graduate,No,3086,0.0,120.0,360.0,1.0,Semiurban,1
Male,Yes,2,Graduate,No,4865,5624.0,208.0,360.0,1.0,Semiurban,1
Male,Yes,3,Not Graduate,Yes,5703,0.0,130.0,360.0,1.0,Rural,1
Male,Yes,3,Graduate,No,6406,0.0,150.0,360.0,1.0,Semiurban,0
Male,No,0,Not Graduate,No,2346,1600.0,132.0,360.0,1.0,Semiurban,1
Male,Yes,1,Not Graduate,No,2661,7101.0,279.0,180.0,1.0,Semiurban,1
Male,Yes,0,Graduate,No,19730,5266.0,570.0,360.0,1.0,Rural,0
Male,Yes,0,Not Graduate,No,2167,2400.0,115.0,360.0,1.0,Urban,1
Male,Yes,1,Graduate,No,3417,1750.0,186.0,360.0,1.0,Urban,1
Male,Yes,0,Graduate,No,1809,1868.0,90.0,360.0,1.0,Urban,1
Male,Yes,0,Graduate,No,5568,2142.0,175.0,360.0,1.0,Rural,0
Male,Yes,0,Graduate,No,9328,0.0,188.0,180.0,1.0,Rural,1
Male,No,0,Graduate,No,3418,0.0,127.0,360.0,1.0,Semiurban,0
Female,No,0,Graduate,No,2507,0.0,56.0,360.0,1.0,Rural,1
Male,No,0,Not Graduate,No,4885,0.0,48.0,360.0,1.0,Rural,1
Male,Yes,0,Not Graduate,No,2583,2358.0,120.0,360.0,1.0,Urban,1
Female,No,0,Graduate,No,2137,8980.0,137.0,360.0,0.0,Semiurban,1
Male,No,2,Graduate,No,3588,0.0,110.0,360.0,0.0,Rural,0
Male,No,0,Graduate,No,8566,0.0,210.0,360.0,1.0,Urban,1
Male,Yes,2,Graduate,No,3159,461.0,108.0,84.0,1.0,Urban,1
Male,Yes,0,Not Graduate,No,1863,1041.0,98.0,360.0,1.0,Semiurban,1
Male,Yes,2,Graduate,No,3859,0.0,96.0,360.0,1.0,Semiurban,1
Male,No,0,Graduate,No,2014,1929.0,74.0,360.0,1.0,Urban,1
Female,Yes,0,Graduate,No,3625,0.0,108.0,360.0,1.0,Semiurban,1
Female,No,0,Graduate,No,5000,0.0,132.0,360.0,1.0,Rural,1
Male,Yes,3,Not Graduate,No,2947,1664.0,70.0,180.0,0.0,Urban,0
Male,Yes,0,Graduate,No,6133,3906.0,324.0,360.0,1.0,Urban,1
Female,No,0,Graduate,No,4160,0.0,71.0,360.0,1.0,Semiurban,1
Male,No,0,Graduate,No,2718,0.0,70.0,360.0,1.0,Semiurban,1
Male,No,0,Not Graduate,No,3691,0.0,110.0,360.0,1.0,Rural,1
Male,Yes,0,Graduate,No,4583,5625.0,255.0,360.0,1.0,Semiurban,1
Female,No,1,Graduate,No,3812,0.0,112.0,360.0,1.0,Rural,1
Male,Yes,3,Graduate,No,5250,0.0,94.0,360.0,1.0,Urban,0
Male,No,0,Not Graduate,No,2927,2405.0,111.0,360.0,1.0,Semiurban,1
Male,Yes,2,Graduate,No,5391,0.0,130.0,360.0,1.0,Urban,1
Female,No,0,Graduate,Yes,15759,0.0,55.0,360.0,1.0,Semiurban,1
Male,No,0,Graduate,No,6500,0.0,105.0,360.0,0.0,Rural,0
Male,Yes,2,Graduate,Yes,9323,7873.0,380.0,300.0,1.0,Rural,1
Male,Yes,2,Graduate,Yes,4583,2083.0,160.0,360.0,1.0,Semiurban,1
Male,Yes,0,Graduate,No,2768,1950.0,155.0,360.0,1.0,Rural,1
Male,Yes,1,Graduate,No,3089,1280.0,121.0,360.0,0.0,Semiurban,0
Male,Yes,0,Graduate,No,4817,923.0,120.0,180.0,1.0,Urban,1
Male,Yes,2,Graduate,No,2301,985.7999878,78.0,180.0,1.0,Urban,1
Female,Yes,2,Graduate,No,2031,1632.0,113.0,480.0,1.0,Semiurban,1
Male,Yes,0,Graduate,No,3103,1300.0,80.0,360.0,1.0,Urban,1
Male,Yes,0,Graduate,No,2439,3333.0,129.0,360.0,1.0,Rural,1
Female,No,0,Not Graduate,No,3400,0.0,95.0,360.0,1.0,Rural,0
Male,Yes,3,Graduate,No,5167,3167.0,200.0,360.0,1.0,Semiurban,1
Female,No,0,Not Graduate,No,2213,0.0,66.0,360.0,1.0,Rural,1
Male,Yes,2,Graduate,No,7583,0.0,187.0,360.0,1.0,Urban,1
Male,Yes,2,Graduate,No,5000,3667.0,236.0,360.0,1.0,Semiurban,1
Male,No,0,Graduate,Yes,10416,0.0,187.0,360.0,0.0,Urban,0
Male,Yes,3,Graduate,No,5703,0.0,128.0,360.0,1.0,Urban,1
Male,Yes,0,Graduate,No,2483,2466.0,90.0,180.0,0.0,Rural,1
Male,No,0,Graduate,No,2526,1783.0,145.0,360.0,1.0,Rural,1
Male,Yes,1,Graduate,No,1538,1425.0,30.0,360.0,1.0,Urban,1
Male,Yes,1,Graduate,No,2491,2054.0,104.0,360.0,1.0,Semiurban,1
Female,No,0,Graduate,No,6000,0.0,156.0,360.0,1.0,Urban,1
Male,No,0,Graduate,Yes,7085,0.0,84.0,360.0,1.0,Semiurban,1
Male,Yes,1,Graduate,No,8300,0.0,152.0,300.0,0.0,Semiurban,0
Male,Yes,0,Graduate,No,3000,3416.0,56.0,180.0,1.0,Semiurban,1
Male,No,3,Not Graduate,No,4707,1993.0,148.0,360.0,1.0,Semiurban,1
Male,Yes,0,Graduate,No,2383,3334.0,172.0,360.0,1.0,Semiurban,1
Female,No,0,Not Graduate,No,4350,0.0,154.0,360.0,1.0,Rural,1
Female,No,0,Graduate,No,10000,0.0,214.0,360.0,1.0,Semiurban,0
Male,Yes,2,Graduate,No,2045,1619.0,101.0,360.0,1.0,Rural,1
Male,No,0,Not Graduate,Yes,2583,2167.0,104.0,360.0,1.0,Rural,1
Female,No,0,Graduate,No,2500,0.0,67.0,360.0,1.0,Urban,1
Male,Yes,2,Graduate,No,3153,1560.0,134.0,360.0,1.0,Urban,1
Male,No,0,Graduate,No,6277,0.0,118.0,360.0,0.0,Rural,0
Male,Yes,3,Graduate,No,39999,0.0,600.0,180.0,0.0,Semiurban,1
Male,No,0,Not Graduate,No,2717,0.0,60.0,180.0,1.0,Urban,1
Female,No,0,Graduate,No,1811,1666.0,54.0,360.0,1.0,Urban,1
Male,Yes,1,Graduate,Yes,2895,0.0,95.0,360.0,1.0,Semiurban,1
Female,No,1,Graduate,No,2600,0.0,160.0,360.0,1.0,Urban,0
Male,Yes,0,Graduate,No,9323,0.0,75.0,180.0,1.0,Urban,1
Male,Yes,1,Graduate,No,6325,0.0,175.0,360.0,1.0,Semiurban,1
Male,No,0,Not Graduate,No,3598,1287.0,100.0,360.0,1.0,Rural,0
Male,No,0,Graduate,Yes,6950,0.0,175.0,180.0,1.0,Semiurban,1
Male,Yes,0,Graduate,No,3708,2569.0,173.0,360.0,1.0,Urban,0
Female,No,0,Graduate,Yes,7441,0.0,194.0,360.0,1.0,Rural,0
Male,Yes,0,Graduate,No,5708,5625.0,187.0,360.0,1.0,Semiurban,1
Male,Yes,0,Not Graduate,No,3814,1483.0,124.0,300.0,1.0,Semiurban,1
Male,Yes,0,Graduate,No,3366,2200.0,135.0,360.0,1.0,Rural,0
Male,Yes,2,Graduate,No,8799,0.0,258.0,360.0,0.0,Urban,0
Female,Yes,2,Graduate,No,1378,1881.0,167.0,360.0,1.0,Urban,0
Male,No,0,Not Graduate,No,6216,0.0,133.0,360.0,1.0,Rural,0
Male,Yes,3,Not Graduate,No,2071,754.0,94.0,480.0,1.0,Semiurban,1
Female,No,0,Graduate,No,3762,1666.0,135.0,360.0,1.0,Rural,1
Male,Yes,1,Not Graduate,No,2510,1983.0,140.0,180.0,1.0,Urban,0
Female,No,0,Not Graduate,No,4408,0.0,120.0,360.0,1.0,Semiurban,1
Male,Yes,2,Graduate,No,1299,1086.0,17.0,120.0,1.0,Urban,1
Female,Yes,0,Graduate,No,2645,3440.0,120.0,360.0,0.0,Urban,0
Male,No,0,Graduate,No,4166,7210.0,184.0,360.0,1.0,Urban,1
Male,Yes,0,Graduate,No,150,1800.0,135.0,360.0,1.0,Rural,0
Male,Yes,1,Graduate,No,33846,0.0,260.0,360.0,1.0,Semiurban,0
Female,No,0,Not Graduate,Yes,17263,0.0,225.0,360.0,1.0,Semiurban,1
Male,Yes,0,Graduate,Yes,9963,0.0,180.0,360.0,1.0,Rural,1
Male,No,1,Not Graduate,Yes,4053,2426.0,158.0,360.0,0.0,Urban,0
Male,Yes,1,Graduate,Yes,10513,3850.0,160.0,180.0,0.0,Urban,0
Male,Yes,0,Graduate,No,5726,4595.0,258.0,360.0,1.0,Semiurban,0
Male,Yes,1,Graduate,No,1625,1803.0,96.0,360.0,1.0,Urban,1
Male,No,0,Graduate,No,2500,0.0,55.0,360.0,1.0,Semiurban,1
Male,Yes,0,Graduate,No,4333,2451.0,110.0,360.0,1.0,Urban,0
Male,No,0,Graduate,Yes,6400,0.0,200.0,360.0,1.0,Rural,1
Female,Yes,1,Graduate,Yes,11500,0.0,286.0,360.0,0.0,Urban,0
Male,Yes,3,Not Graduate,No,3095,0.0,113.0,360.0,1.0,Rural,1
Female,No,0,Graduate,No,7200,0.0,120.0,360.0,1.0,Rural,1
Male,No,0,Graduate,Yes,6822,0.0,141.0,360.0,1.0,Rural,1
Male,Yes,1,Graduate,Yes,8666,4983.0,376.0,360.0,0.0,Rural,0
Male,Yes,1,Graduate,No,6065,2004.0,250.0,360.0,1.0,Semiurban,1
Male,Yes,2,Graduate,Yes,5417,4196.0,267.0,360.0,1.0,Urban,1
Male,Yes,0,Graduate,Yes,5818,2160.0,184.0,360.0,1.0,Semiurban,1
Male,Yes,0,Not Graduate,No,2454,2333.0,181.0,360.0,0.0,Urban,0
Male,Yes,3,Graduate,No,4000,7750.0,290.0,360.0,1.0,Semiurban,0
Female,No,0,Graduate,Yes,2600,1717.0,99.0,300.0,1.0,Semiurban,0
Male,Yes,0,Graduate,No,3775,0.0,110.0,360.0,1.0,Semiurban,1
Male,Yes,0,Graduate,No,11146,0.0,136.0,360.0,1.0,Urban,1
Male,Yes,0,Graduate,No,3727,1775.0,131.0,360.0,1.0,Semiurban,1
Male,Yes,0,Graduate,Yes,3459,0.0,25.0,120.0,1.0,Semiurban,1
Male,Yes,3,Graduate,No,8750,4996.0,130.0,360.0,1.0,Rural,1
Male,Yes,0,Graduate,No,2620,2223.0,150.0,360.0,1.0,Semiurban,1
Male,No,0,Graduate,No,3750,4750.0,176.0,360.0,1.0,Urban,0
Male,Yes,0,Graduate,No,2500,3796.0,120.0,360.0,1.0,Urban,1
Male,Yes,0,Graduate,No,3941,2336.0,134.0,360.0,1.0,Semiurban,1
Male,Yes,0,Graduate,No,2499,2458.0,160.0,360.0,1.0,Semiurban,1
Male,Yes,0,Graduate,No,1025,2773.0,112.0,360.0,1.0,Rural,1
Female,No,3,Graduate,No,3083,0.0,255.0,360.0,1.0,Rural,1
Male,Yes,0,Graduate,No,2785,2016.0,110.0,360.0,1.0,Rural,1
Female,Yes,0,Graduate,No,3667,1459.0,144.0,360.0,1.0,Semiurban,1
Male,Yes,0,Graduate,No,10833,0.0,234.0,360.0,1.0,Semiurban,1
Male,Yes,0,Graduate,No,3075,2416.0,139.0,360.0,1.0,Rural,1
Male,No,0,Graduate,No,2935,0.0,98.0,360.0,1.0,Semiurban,1
Male,Yes,2,Graduate,No,5185,0.0,155.0,360.0,1.0,Semiurban,1
Male,No,0,Graduate,No,2479,0.0,59.0,360.0,1.0,Urban,1
Male,Yes,2,Graduate,Yes,7948,7166.0,480.0,360.0,1.0,Rural,1
Male,Yes,1,Graduate,No,3750,0.0,116.0,360.0,1.0,Semiurban,1
Male,Yes,1,Graduate,Yes,1000,3022.0,110.0,360.0,1.0,Urban,0
Male,Yes,0,Graduate,No,3497,1964.0,116.0,360.0,1.0,Rural,1
Female,Yes,0,Graduate,No,4583,0.0,112.0,360.0,1.0,Rural,0
Male,Yes,1,Graduate,No,2787,1917.0,146.0,360.0,0.0,Rural,0
Male,Yes,1,Graduate,No,12841,10968.0,349.0,360.0,1.0,Semiurban,0
Male,Yes,2,Graduate,Yes,1600,20000.0,239.0,360.0,1.0,Urban,0
Female,No,0,Graduate,No,2378,0.0,9.0,360.0,1.0,Urban,0
Female,No,0,Graduate,No,3846,0.0,111.0,360.0,1.0,Semiurban,1
Male,Yes,0,Graduate,No,2333,2417.0,136.0,360.0,1.0,Urban,1
Female,No,0,Graduate,No,3510,0.0,76.0,360.0,0.0,Urban,0
Male,No,2,Graduate,No,4923,0.0,166.0,360.0,0.0,Semiurban,1
Male,Yes,2,Graduate,No,4616,0.0,134.0,360.0,1.0,Urban,0
Male,No,0,Not Graduate,Yes,5800,0.0,132.0,360.0,1.0,Semiurban,1
Male,No,0,Graduate,No,4683,1915.0,185.0,360.0,1.0,Semiurban,0
Male,Yes,2,Graduate,No,3900,0.0,90.0,360.0,1.0,Semiurban,1
Female,No,1,Graduate,No,4723,0.0,81.0,360.0,1.0,Semiurban,0
Female,No,0,Not Graduate,Yes,18165,0.0,125.0,360.0,1.0,Urban,1
Female,Yes,0,Graduate,No,3166,0.0,36.0,360.0,1.0,Semiurban,1
Female,No,1,Graduate,Yes,8624,0.0,150.0,360.0,1.0,Semiurban,1
Female,No,0,Graduate,No,5000,2541.0,151.0,480.0,1.0,Rural,0
Male,No,0,Graduate,Yes,5166,0.0,128.0,360.0,1.0,Semiurban,1
Female,No,0,Graduate,No,3237,0.0,30.0,360.0,1.0,Urban,1
Male,No,0,Graduate,No,5941,4232.0,296.0,360.0,1.0,Semiurban,1
Female,Yes,1,Graduate,Yes,19484,0.0,600.0,360.0,1.0,Semiurban,1
Male,Yes,0,Graduate,No,2400,2167.0,115.0,360.0,1.0,Semiurban,1
Male,Yes,2,Graduate,No,5780,0.0,192.0,360.0,1.0,Urban,1
Male,Yes,0,Graduate,No,5923,2054.0,211.0,360.0,1.0,Rural,1
Male,Yes,3,Graduate,No,9504,0.0,275.0,360.0,1.0,Rural,1
Male,Yes,2,Graduate,No,3340,1710.0,150.0,360.0,0.0,Rural,0
Male,Yes,0,Graduate,No,2625,6250.0,187.0,360.0,1.0,Rural,1
Male,No,0,Not Graduate,No,6045,0.0,115.0,360.0,0.0,Rural,0
Male,No,0,Not Graduate,No,3975,2531.0,55.0,360.0,1.0,Rural,1
Male,Yes,0,Graduate,No,2132,1591.0,96.0,360.0,1.0,Semiurban,1
Male,Yes,1,Graduate,No,2750,1842.0,115.0,360.0,1.0,Semiurban,1
Male,No,0,Graduate,Yes,6050,4333.0,120.0,180.0,1.0,Urban,0
Female,No,0,Graduate,No,1500,1800.0,103.0,360.0,0.0,Semiurban,0
Male,No,1,Graduate,No,4384,1793.0,117.0,360.0,1.0,Urban,1
Male,Yes,2,Graduate,No,5042,2083.0,185.0,360.0,1.0,Rural,0
Male,Yes,1,Graduate,No,10750,0.0,312.0,360.0,1.0,Urban,1
Male,No,0,Graduate,No,6283,4416.0,209.0,360.0,0.0,Rural,0
Male,Yes,0,Graduate,Yes,3000,0.0,66.0,360.0,1.0,Urban,1
Male,Yes,1,Not Graduate,No,2239,2524.0,128.0,360.0,1.0,Urban,1
Male,Yes,2,Graduate,Yes,6000,0.0,205.0,240.0,1.0,Semiurban,0
Male,Yes,0,Not Graduate,Yes,2609,3449.0,165.0,180.0,0.0,Rural,0
Male,Yes,2,Not Graduate,No,4288,3263.0,133.0,180.0,1.0,Urban,1
Female,No,1,Graduate,No,3481,0.0,155.0,36.0,1.0,Semiurban,0
Male,Yes,0,Graduate,No,5821,0.0,144.0,360.0,1.0,Urban,1
Male,Yes,3,Not Graduate,No,2647,1587.0,173.0,360.0,1.0,Rural,0
Male,Yes,1,Graduate,Yes,3450,2079.0,162.0,360.0,1.0,Semiurban,1
Female,No,0,Graduate,No,4166,0.0,44.0,360.0,1.0,Semiurban,1
Male,Yes,0,Graduate,No,2425,2340.0,143.0,360.0,1.0,Semiurban,1
Male,Yes,2,Graduate,No,6540,0.0,205.0,360.0,1.0,Semiurban,1
Male,No,0,Not Graduate,No,3200,2254.0,126.0,180.0,0.0,Urban,0
Male,Yes,0,Graduate,No,7901,1833.0,180.0,360.0,1.0,Rural,1
Female,No,0,Graduate,No,2378,0.0,46.0,360.0,1.0,Rural,0
Male,No,0,Graduate,No,4000,2500.0,140.0,360.0,1.0,Rural,1
Male,No,0,Graduate,No,4950,0.0,125.0,360.0,1.0,Urban,1
Female,No,0,Graduate,No,4547,0.0,115.0,360.0,1.0,Semiurban,1
